Part No,Description,# Models,Fits these models
06410-KTE-910,"DAMPER SET, WHEEL",40,"CB110AMF, CB110AMH, CB110C2F, CB110C2G, CB110C2MG, CB110CE, CB110CF, CB110CG, CB110CME, CB110CMF, CB110CMG, CB110D, CB110E, CB110J, CB110MD, CB110ME, CBF110G, CBF110H, CBF110J, CBF110SG, CBF110SH, CBF110SJ, CBF1256, CBF1259, CBF125A, CBF125C, CBF125C9, CBF125CA, CBF125CC, CBF125F, CBF125H, CBF125M7, CBF125M9/MF, CBF125MA, CBF125MB, CBF125MC, CBF125MC9, CBF125MCA, CBF125MCC, CBF125MG"
06410-KWS-901,"DAMPER SET, WHEEL",10,"CBF110A, CBF110C, CBF110E, CBF110MA, CBF110MC, CBF110ME, CBF110MSE, CD100RNP, CD100RNS, CD100RNT"
06410-MBB-000,"DAMPER SET, WHEEL",9,"CRF1000DH, CRF1000DJ, CRF1000DK, CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
06410-MER-D00,"DAMPER SET, WHEEL",2,"CBR650FAG, CBR650FAJ"
06410-MGS-D30,"DAMPER SET, WHEEL",6,"CB500XAM, CB650RAM, CB650RAN, CBR650RAL, CBR650RAM, CBR650RAN"
06420-KSP-900,"SPOKE SET A, RR.(OUTSIDE)",18,"CB110CE, CB110CF, CB110CG, CB110D, CB110E, CB110J, CBF1256, CBF125A, CBF125C, CBF125CA, CBF125M7, CBF125MCA, CBF1505, CBF1506, CBF1507, CBF150M5, CBF150M6, CBF150M7"
06420-MJP-G51,"SPOKE SET A, RR. (R. OUTSIDE)",1,CRF1000DH
06420-MKK-D00,"SPOKE SET A, RR. (R. OUTSIDE)",2,"CRF1000DJ, CRF1000DK"
06420-MKS-E20,"SPOKE SET A, RR. (R. OUTSIDE)",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
06421-KSP-900,"SPOKE SET B, RR.(INSIDE)",18,"CB110CE, CB110CF, CB110CG, CB110D, CB110E, CB110J, CBF1256, CBF125A, CBF125C, CBF125CA, CBF125M7, CBF125MCA, CBF1505, CBF1506, CBF1507, CBF150M5, CBF150M6, CBF150M7"
06421-MJP-G51,"SPOKE SET B, RR. (L. SIDE)",1,CRF1000DH
06421-MKK-D00,"SPOKE SET B, RR. (L. SIDE)",2,"CRF1000DJ, CRF1000DK"
06421-MKS-E20,"SPOKE SET B, RR. (R. INSIDE)",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
06422-MJP-G51,"SPOKE SET C, RR. (R. INSIDE)",1,CRF1000DH
06422-MKK-D00,"SPOKE SET C, RR. (R. INSIDE)",2,"CRF1000DJ, CRF1000DK"
06422-MKS-E20,"SPOKE SET C, RR. (L. OUTSIDE)",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
06423-MKS-E20,"SPOKE SET D, RR. (L. INSIDE)",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
06427-KPL-840,"TUBE SET, TUFF UP",9,"SCV100CM5, SCV100F5, SCV100F9, SCV100FA, SCV100G8, SCV1109, SCV110B, SCV110GA, SCV110GC"
06427-KPL-900,"TUBE SET, TUFF UP",2,"SCV100CM2, SCV100F3"
06427-KSP-870,"TUBE SET, TUFF UP",5,"CBF1507, CBF150M7, CBF150M9, CBF150MA, CBF150MH"
06427-KSP-900,"TUBE SET, TUFF UP",6,"CBF1505, CBF1506, CBF1507, CBF150M5, CBF150M6, CBF150M7"
06427-KTE-640,"TUBE SET, TUFF UP(80/100-18)",6,"CB110CE, CB110CF, CB110CG, CB110D, CB110E, CB110J"
06427-KTE-910,"TUBE SET, TUFF UP",8,"CBF1256, CBF125A, CBF125C, CBF125C9, CBF125CA, CBF125M7, CBF125MC9, CBF125MCA"
06430-GBJ-K20,"SHOE SET, BRAKE",4,"SC1505, SCV100CM2, SCV100CM5, SCV100F5"
06430-K3C-D10,"SHOE SET, BRAKE(ASK)",3,"CD100RNP, CD100RNS, CD100RNT"
06430-K74-N00,"SHOE SET, RR. BRAKE(JB)",3,"NVA110G, NVA110H, NVA110K"
06430-K74-N10,"SHOE SET, RR. BRAKE(ASK)",3,"NVA110G, NVA110H, NVA110K"
06430-KPL-840,"SHOE SET, BRAKE",4,"SCV100F5, SCV100F9, SCV100FA, SCV100G8"
06430-KRP-980,"SHOE SET, BRAKE(ASK)",42,"CB110D, CB110J, CB110MD, CBF110A, CBF110C, CBF110E, CBF110MA, CBF110MC, CBF110ME, CBF1256, CBF1259, CBF125A, CBF125C, CBF125C9, CBF125CA, CBF125CC, CBF125F, CBF125H, CBF125M7, CBF125M9/MF, CBF125MA, CBF125MB, CBF125MC, CBF125MC9, CBF125MCA, CBF125MCC, CBF125MG, CBF1505, CBF1506, CBF1507, CBF150M5, CBF150M6, CBF150M7, CBF150M9, CBF150MA, CBF150MH, CBF150MK, CBF160AL, CBF160AR, CBF160AS, SC1505, SCV100F5"
06430-KST-940,"SHOE SET, BRAKE(ASK)",7,"CBF110A, CBF110C, CBF110E, CBF110MA, CBF110MC, CBF110ME, CBF110MSE"
06430-KTC-900,"SHOE SET, BRAKE",8,"SCV100CM2, SCV100CM5, SCV100F5, SCV100F9, SCV100FA, SCV100G8, SCV1109, SCV110B"
