Part No,Description,# Models,Fits these models
18600-K23-933,"VALVE ASSY., AIR SUCTION (MIKUNI)",13,"CB110C2G, CB110C2MG, CB110CE, CB110CF, CB110CG, CB110CMF, CB110CMG, CBF110G, CBF110H, CBF110J, CBF110SG, CBF110SH, CBF110SJ"
18600-K23-C11,"VALVE ASSY., AIR SUCTION (MIKUNI)",2,"CB110CMF, CB110CMG"
18600-K38-901,"VALVE ASSY., AIR SUCTION",10,"CBF160F, CBF160FSJ, CBF160FSK, CBF160G, CBF160H, CBF160MAJ, CBF160MAK, CBF160MG, CBF160MH, CBF160MJ"
18600-K43-DA1,"VALVE ASSY., AIR SUCTION.",1,CBF160MH
18600-KPL-841,"VALVE ASSY., AIR SUCTION",4,"SCV100CM5, SCV100F5, SCV100FA, SCV100G8"
18600-KPL-902,"VALVE ASSY., AIR SUCTION",2,"SCV100CM2, SCV100F3"
18600-KPL-903,"VALVE ASSY., AIR SUCTION",2,"SCV100F9, SCV100FA"
18600-KRB-901,"VALVE ASSY., AIR SUCTION",1,SC1504
18600-KRB-902,"VALVE ASSY., AIR SUCTION",1,SC1505
18600-KSP-901,"VALVE ASSY., AIR SUCTION",13,"CBF1505, CBF1506, CBF1507, CBF150M5, CBF150M6, CBF150M7, CBF150M9, CBF150MA, CBF150MB, CBF150MC, CBF150MD, CBF150MH, CBF150MK"
18600-KTE-912,"VALVE ASSY., AIR SUCTION",22,"CBF1256, CBF1259, CBF125A, CBF125BH, CBF125C, CBF125C9, CBF125CA, CBF125CC, CBF125F, CBF125H, CBF125J/K, CBF125L, CBF125M7, CBF125M9/MF, CBF125MA, CBF125MC, CBF125MC9, CBF125MCA, CBF125MCC, CBF125MG, CBF125MH, CBF125MJ/MK"
18600-KWP-901,"VALVE ASSY., AIR SUCTION",42,"NVA110BK, NVA110G, NVA110H, NVA110K, NVB110H, SCV1109, SCV110B, SCV110D, SCV110E, SCV110F, SCV110FBC, SCV110FBH, SCV110FBK, SCV110FC, SCV110FD, SCV110FF, SCV110FH, SCV110FK, SCV110G, SCV110GA, SCV110GC, SCV110GD, SCV110GF, SCV110GFD, SCV110GFF, SCV110GFH, SCV110GFK, SCV110GH, SCV110GK, SCV110H, SCV110HE, SCV110HF, SCV110HH, SCV110HK, SCV110J, SCV110L, SCV125E, SCV125G, SCV125H, SCV125K, SCV125SJ, SCV125SK"
18600-KWS-901,"VALVE ASSY., AIR SUCTION",7,"CBF110A, CBF110C, CBF110E, CBF110MA, CBF110MC, CBF110ME, CBF110MSE"
18600-KZA-W01,"VALVE ASSY., AIR SUCTION",3,"CB110D, CB110J, CB110MD"
18601-K38-900,"TUBE, SUCTION",10,"CBF160F, CBF160FSJ, CBF160FSK, CBF160G, CBF160H, CBF160MAJ, CBF160MAK, CBF160MG, CBF160MH, CBF160MJ"
18601-KEA-741,"VALVE COMP., REED(ARAI)",32,"CB500XAM, CB650RAM, CB650RAN, CBF300NAK, CBF300NAN, CBF300NAR, CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ, CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ, CBR650FAG, CBR650FAJ, CBR650RAL, CBR650RAM, CBR650RAN, CRF1000DH, CRF1000DJ, CRF1000DK, CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
18601-KSP-900,"TUBE A, AIR SUCTION VALVE",13,"CBF1505, CBF1506, CBF1507, CBF150M5, CBF150M6, CBF150M7, CBF150M9, CBF150MA, CBF150MB, CBF150MC, CBF150MD, CBF150MH, CBF150MK"
18601-KTE-910,"TUBE A, AIR SUCTION VALVE",22,"CBF1256, CBF1259, CBF125A, CBF125BH, CBF125C, CBF125C9, CBF125CA, CBF125CC, CBF125F, CBF125H, CBF125J/K, CBF125L, CBF125M7, CBF125M9/MF, CBF125MA, CBF125MC, CBF125MC9, CBF125MCA, CBF125MCC, CBF125MG, CBF125MH, CBF125MJ/MK"
18601-KWS-900,"TUBE A, AIR SUCTION VALVE",7,"CBF110A, CBF110C, CBF110E, CBF110MA, CBF110MC, CBF110ME, CBF110MSE"
18602-K38-900,"TUBE, REED VALVE",10,"CBF160F, CBF160FSJ, CBF160FSK, CBF160G, CBF160H, CBF160MAJ, CBF160MAK, CBF160MG, CBF160MH, CBF160MJ"
18602-KSP-900,"TUBE B, AIR SUCTION VALVE",13,"CBF1505, CBF1506, CBF1507, CBF150M5, CBF150M6, CBF150M7, CBF150M9, CBF150MA, CBF150MB, CBF150MC, CBF150MD, CBF150MH, CBF150MK"
18602-KTE-910,"TUBE B, AIR SUCTION VALVE",22,"CBF1256, CBF1259, CBF125A, CBF125BH, CBF125C, CBF125C9, CBF125CA, CBF125CC, CBF125F, CBF125H, CBF125J/K, CBF125L, CBF125M7, CBF125M9/MF, CBF125MA, CBF125MC, CBF125MC9, CBF125MCA, CBF125MCC, CBF125MG, CBF125MH, CBF125MJ/MK"
18602-KWS-900,"TUBE B, AIR SUCTION VALVE",7,"CBF110A, CBF110C, CBF110E, CBF110MA, CBF110MC, CBF110ME, CBF110MSE"
18603-K38-900,"TUBE, PB",10,"CBF160F, CBF160FSJ, CBF160FSK, CBF160G, CBF160H, CBF160MAJ, CBF160MAK, CBF160MG, CBF160MH, CBF160MJ"
18612-KYJ-900,"COVER, REED VALVE",15,"CBF300NAK, CBF300NAN, CBF300NAR, CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ, CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
18612-MGZ-J00,"COVER, REED VALVE",2,"CB500XAM, CBR650FAG"
18612-MJP-G50,"COVER, REED VALVE",1,CRF1000DH
18612-MJW-J00,"COVER, REED VALVE",6,"CB650RAM, CB650RAN, CBR650FAJ, CBR650RAL, CBR650RAM, CBR650RAN"
18612-MKK-D00,"COVER, REED VALVE",8,"CRF1000DJ, CRF1000DK, CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
18613-KYJ-900,"HOSE, AIR INJECTION SOLENOID VALVE",12,"CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ, CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
18613-MGZ-J00,"TUBE, AIR INJECTION SOLENOID",1,CB500XAM
18613-MJP-G50,"TUBE, AIR INJECTION SOLENOID",1,CRF1000DH
18613-MKK-D00,"TUBE, AIR INJECTION SOLENOID",2,"CRF1000DJ, CRF1000DK"
18613-MKS-E00,"TUBE, AIR INJECTION SOLENOID",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
18640-K14-900,"PIPE COMP., AIR FEED",31,"CB110AMF, CB110AMH, CB110BK, CB110C2F, CB110C2G, CB110C2H, CB110C2K, CB110C2MG, CB110C2MH, CB110C2MK, CB110CE, CB110CF, CB110CG, CB110CMDK, CB110CME, CB110CMF, CB110CMG, CB110CMH, CB110D, CB110E, CB110J, CB110MD, CB110ME, CBF110BK, CBF110G, CBF110H, CBF110J, CBF110SBK, CBF110SG, CBF110SH, CBF110SJ"
18640-K38-900,"PIPE COMP., AIR FEED",10,"CBF160F, CBF160FSJ, CBF160FSK, CBF160G, CBF160H, CBF160MAJ, CBF160MAK, CBF160MG, CBF160MH, CBF160MJ"
18640-KPL-900,"PIPE COMP., AIR FEED",6,"SCV100CM2, SCV100CM5, SCV100F3, SCV100F5, SCV100F9, SCV100FA"
18640-KRB-900,"PIPE COMP., AIR FEED",2,"SC1504, SC1505"
18640-KRP-N40,"PIPE COMP., AIR FEED",1,SCV100FA
18640-KSP-910,"PIPE COMP., AIR FEED",7,"CBF1505, CBF1506, CBF1507, CBF150M5, CBF150M6, CBF150M7, CBF150M9"
18640-KSP-B00,"PIPE COMP., AIR FEED",6,"CBF150MA, CBF150MB, CBF150MC, CBF150MD, CBF150MH, CBF150MK"
18640-KTE-600,"PIPE COMP., AIR FEED",11,"CBF125BH, CBF125C, CBF125CC, CBF125F, CBF125H, CBF125J/K, CBF125L, CBF125MCC, CBF125MG, CBF125MH, CBF125MJ/MK"
18640-KTE-910,"PIPE COMP., AIR FEED",11,"CBF1256, CBF1259, CBF125A, CBF125C9, CBF125CA, CBF125M7, CBF125M9/MF, CBF125MA, CBF125MC, CBF125MC9, CBF125MCA"
18640-KVT-903,"PIPE COMP., AIR FEED",1,SCV100G8
18640-KWP-900,"PIPE COMP., AIR FEED",12,"SCV1109, SCV110B, SCV110FBC, SCV110FC, SCV110GA, SCV110GC, SCV125E, SCV125G, SCV125H, SCV125K, SCV125SJ, SCV125SK"
18640-KWP-D00,"PIPE COMP., AIR FEED",30,"NVA110BK, NVA110G, NVA110H, NVA110K, NVB110H, SCV110D, SCV110E, SCV110F, SCV110FBH, SCV110FBK, SCV110FD, SCV110FF, SCV110FH, SCV110FK, SCV110G, SCV110GD, SCV110GF, SCV110GFD, SCV110GFF, SCV110GFH, SCV110GFK, SCV110GH, SCV110GK, SCV110H, SCV110HE, SCV110HF, SCV110HH, SCV110HK, SCV110J, SCV110L"
18640-KWS-900,"PIPE COMP., AIR FEED",7,"CBF110A, CBF110C, CBF110E, CBF110MA, CBF110MC, CBF110ME, CBF110MSE"
18645-KPH-C00,"GASKET, AIR FEED PIPE",38,"CB110AMF, CB110AMH, CB110BK, CB110C2F, CB110C2G, CB110C2H, CB110C2K, CB110C2MG, CB110C2MH, CB110C2MK, CB110CE, CB110CF, CB110CG, CB110CMDK, CB110CME, CB110CMF, CB110CMG, CB110CMH, CB110D, CB110E, CB110J, CB110MD, CB110ME, CBF110A, CBF110BK, CBF110C, CBF110E, CBF110G, CBF110H, CBF110J, CBF110MA, CBF110MC, CBF110ME, CBF110MSE, CBF110SBK, CBF110SG, CBF110SH, CBF110SJ"
18645-KPL-900,"GASKET, AIR FEED PIPE",7,"SCV100CM2, SCV100CM5, SCV100F3, SCV100F5, SCV100F9, SCV100FA, SCV100G8"
18645-KRB-900,"GASKET, AIR FEED PIPE",2,"SC1504, SC1505"
18645-KVY-900,"GASKET, AIR FEED PIPE",42,"NVA110BK, NVA110G, NVA110H, NVA110K, NVB110H, SCV1109, SCV110B, SCV110D, SCV110E, SCV110F, SCV110FBC, SCV110FBH, SCV110FBK, SCV110FC, SCV110FD, SCV110FF, SCV110FH, SCV110FK, SCV110G, SCV110GA, SCV110GC, SCV110GD, SCV110GF, SCV110GFD, SCV110GFF, SCV110GFH, SCV110GFK, SCV110GH, SCV110GK, SCV110H, SCV110HE, SCV110HF, SCV110HH, SCV110HK, SCV110J, SCV110L, SCV125E, SCV125G, SCV125H, SCV125K, SCV125SJ, SCV125SK"
18651-K0A-DB0,TUBE(AISV-ENGINE),2,"CBF300NAN, CBF300NAR"
18651-K0A-E10,TUBE(AISV-ENGINE),1,CBF300NAK
18651-K14-900,"TUBE A, AIR SUCTION VALVE",31,"CB110AMF, CB110AMH, CB110BK, CB110C2F, CB110C2G, CB110C2H, CB110C2K, CB110C2MG, CB110C2MH, CB110C2MK, CB110CE, CB110CF, CB110CG, CB110CMDK, CB110CME, CB110CMF, CB110CMG, CB110CMH, CB110D, CB110E, CB110J, CB110MD, CB110ME, CBF110BK, CBF110G, CBF110H, CBF110J, CBF110SBK, CBF110SG, CBF110SH, CBF110SJ"
18651-K74-N00,"TUBE, AIR SUCTION VALVE",4,"NVA110BK, NVA110G, NVA110H, NVA110K"
18651-KPL-840,"TUBE, AIR SUCTION VALVE",31,"NVB110H, SCV100CM5, SCV100F5, SCV100FA, SCV1109, SCV110B, SCV110D, SCV110E, SCV110F, SCV110FBC, SCV110FBH, SCV110FBK, SCV110FC, SCV110FD, SCV110FF, SCV110FH, SCV110FK, SCV110G, SCV110H, SCV110HE, SCV110HF, SCV110HH, SCV110HK, SCV110J, SCV110L, SCV125E, SCV125G, SCV125H, SCV125K, SCV125SJ, SCV125SK"
18651-KPL-900,"TUBE, AIR SUCTION VALVE",4,"SCV100CM2, SCV100F3, SCV100F9, SCV100FA"
18651-KRB-900,"TUBE, AIR SUCTION VALVE",2,"SC1504, SC1505"
18651-KVT-900,"TUBE, AIR INJECTION CONTROL  VALVE",11,"SCV100G8, SCV110GA, SCV110GC, SCV110GD, SCV110GF, SCV110GFD, SCV110GFF, SCV110GFH, SCV110GFK, SCV110GH, SCV110GK"
18651-MJE-D00,"TUBE, AIR INJECTION CONTROL VALVE",1,CBR650FAG
18651-MJE-DB0,"TUBE, AIR INJECTION CONTROL VALVE",1,CBR650FAJ
18651-MKN-D50,TUBE(AISV-AIR CLEANER),5,"CB650RAM, CB650RAN, CBR650RAL, CBR650RAM, CBR650RAN"
18652-K0A-DB0,TUBE(AISV-AIR CLEANER),2,"CBF300NAN, CBF300NAR"
18652-K0A-E10,TUBE(AISV-AIR CLEANER),1,CBF300NAK
18652-K74-N00,"HOSE, AIR SUCTION VALVE",4,"NVA110BK, NVA110G, NVA110H, NVA110K"
18652-KPL-840,"HOSE, AIR SUCTION VALVE",2,"SCV100CM5, SCV100F5"
18652-KPL-900,"HOSE, AIR SUCTION VALVE",4,"SCV100CM2, SCV100F3, SCV100F9, SCV100FA"
18652-KRB-900,"HOSE, AIR SUCTION VALVE",2,"SC1504, SC1505"
18652-KRP-N40,"HOSE, AIR SUCTION VALVE",1,SCV100FA
18652-KVT-900,"HOSE, AIR INJECTION CONTROL VALVE",1,SCV100G8
18652-KWP-900,"HOSE, AIR SUCTION VALVE",4,"SCV1109, SCV110B, SCV110GA, SCV110GC"
18652-KYJ-900,"STAY COMP., AIR INJECTION SOLENOID VALVE",12,"CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ, CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
18652-KZA-W00,"TUBE B, AIR SUCTION VALVE",31,"CB110AMF, CB110AMH, CB110BK, CB110C2F, CB110C2G, CB110C2H, CB110C2K, CB110C2MG, CB110C2MH, CB110C2MK, CB110CE, CB110CF, CB110CG, CB110CMDK, CB110CME, CB110CMF, CB110CMG, CB110CMH, CB110D, CB110E, CB110J, CB110MD, CB110ME, CBF110BK, CBF110G, CBF110H, CBF110J, CBF110SBK, CBF110SG, CBF110SH, CBF110SJ"
18652-KZK-900,"HOSE, AIR SUCTION VALVE",34,"NVB110H, SCV110D, SCV110E, SCV110F, SCV110FBC, SCV110FBH, SCV110FBK, SCV110FC, SCV110FD, SCV110FF, SCV110FH, SCV110FK, SCV110G, SCV110GD, SCV110GF, SCV110GFD, SCV110GFF, SCV110GFH, SCV110GFK, SCV110GH, SCV110GK, SCV110H, SCV110HE, SCV110HF, SCV110HH, SCV110HK, SCV110J, SCV110L, SCV125E, SCV125G, SCV125H, SCV125K, SCV125SJ, SCV125SK"
18653-K24-900,"TUBE, AIR SUCTION VALVE (VACUUM)",5,"SCV125E, SCV125G, SCV125H, SCV125K, SCV125SJ"
18653-K86-D00,"TUBE, AIR SUCTION VALVE
(VACUUM)",1,SCV125SK
18653-KPL-840,"TUBE, AIR SUCTION VALVE(VACUUM)",4,"SCV100CM5, SCV100F5, SCV100FA, SCV100G8"
18653-KRB-901,"TUBE COMP., AIR SUCTION VALVE",1,SC1504
18653-KRB-902,"TUBE COMP., AIR SUCTION VALVE",1,SC1505
18653-KWP-900,"TUBE, AIR SUCTION VALVE",36,"NVA110BK, NVA110G, NVA110H, NVA110K, NVB110H, SCV1109, SCV110B, SCV110D, SCV110E, SCV110F, SCV110FBC, SCV110FBH, SCV110FBK, SCV110FC, SCV110FD, SCV110FF, SCV110FH, SCV110FK, SCV110G, SCV110GA, SCV110GC, SCV110GD, SCV110GF, SCV110GFD, SCV110GFF, SCV110GFH, SCV110GFK, SCV110GH, SCV110GK, SCV110H, SCV110HE, SCV110HF, SCV110HH, SCV110HK, SCV110J, SCV110L"
18653-KYJ-900,TUBE(AISV-AIR CLEANER),12,"CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ, CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
18653-MGZ-D00,TUBE(AISV-AIR CLEANER),1,CB500XAM
18653-MJE-D00,"TUBE, R. AIR INJECTION CONTROL VALVE",2,"CBR650FAG, CBR650FAJ"
18653-MJP-G50,TUBE(AISV-AIR CLEANER),1,CRF1000DH
18653-MKK-D00,TUBE(AISV-AIR CLEANER),2,"CRF1000DJ, CRF1000DK"
18653-MKN-D50,"TUBE, R. AIR INJECTION CONTROL VALVE",5,"CB650RAM, CB650RAN, CBR650RAL, CBR650RAM, CBR650RAN"
18653-MKS-E00,TUBE(AIR CLEANER-AI SOL),6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
18654-MJE-D00,"TUBE, L. AIR INJECTION CONTROL VALVE",2,"CBR650FAG, CBR650FAJ"
18654-MKN-D50,"TUBE, L. AIR INJECTION CONTROL VALVE",5,"CB650RAM, CB650RAN, CBR650RAL, CBR650RAM, CBR650RAN"
18655-KSP-901,"TUBE, AIR SUCTION VALVE(PB)",13,"CBF1505, CBF1506, CBF1507, CBF150M5, CBF150M6, CBF150M7, CBF150M9, CBF150MA, CBF150MB, CBF150MC, CBF150MD, CBF150MH, CBF150MK"
18655-KTE-910,"TUBE, AIR SUCTION VALVE(PB)",22,"CBF1256, CBF1259, CBF125A, CBF125BH, CBF125C, CBF125C9, CBF125CA, CBF125CC, CBF125F, CBF125H, CBF125J/K, CBF125L, CBF125M7, CBF125M9/MF, CBF125MA, CBF125MC, CBF125MC9, CBF125MCA, CBF125MCC, CBF125MG, CBF125MH, CBF125MJ/MK"
18655-KWS-900,"TUBE, AIR SUCTION VALVE(PB)",7,"CBF110A, CBF110C, CBF110E, CBF110MA, CBF110MC, CBF110ME, CBF110MSE"
18661-MJE-D00,"STAY, AIR INJECTION SOLENOID VALVE",2,"CBR650FAG, CBR650FAJ"
18805-KPL-900,"ELEMENT, SUB AIR CLEANER",38,"NVA110BK, NVA110G, NVA110H, NVA110K, NVB110H, SCV100CM2, SCV100CM5, SCV100F3, SCV100F5, SCV100F9, SCV100FA, SCV1109, SCV110B, SCV110D, SCV110E, SCV110F, SCV110FBC, SCV110FBH, SCV110FBK, SCV110FC, SCV110FD, SCV110FF, SCV110FH, SCV110FK, SCV110G, SCV110H, SCV110HE, SCV110HF, SCV110HH, SCV110HK, SCV110J, SCV110L, SCV125E, SCV125G, SCV125H, SCV125K, SCV125SJ, SCV125SK"
18805-KVT-900,"ELEMENT, SUB AIR CLEANER",11,"SCV100G8, SCV110GA, SCV110GC, SCV110GD, SCV110GF, SCV110GFD, SCV110GFF, SCV110GFH, SCV110GFK, SCV110GH, SCV110GK"
18807-K32-770,"COVER, SUB AIR CLEANER",1,SCV110HK
18807-KPL-900,"COVER, SUB AIR CLEANER",37,"NVA110BK, NVA110G, NVA110H, NVA110K, NVB110H, SCV100CM2, SCV100CM5, SCV100F3, SCV100F5, SCV100F9, SCV100FA, SCV1109, SCV110B, SCV110D, SCV110E, SCV110F, SCV110FBC, SCV110FBH, SCV110FBK, SCV110FC, SCV110FD, SCV110FF, SCV110FH, SCV110FK, SCV110G, SCV110H, SCV110HE, SCV110HF, SCV110HH, SCV110J, SCV110L, SCV125E, SCV125G, SCV125H, SCV125K, SCV125SJ, SCV125SK"
18807-KVT-900,"COVER, SUB AIR CLEANER",9,"SCV100G8, SCV110GA, SCV110GC, SCV110GD, SCV110GF, SCV110GFD, SCV110GFF, SCV110GFH, SCV110GH"
18812-KPL-900,"SEAL, SUB AIR CLEANER",38,"NVA110BK, NVA110G, NVA110H, NVA110K, NVB110H, SCV100CM2, SCV100CM5, SCV100F3, SCV100F5, SCV100F9, SCV100FA, SCV1109, SCV110B, SCV110D, SCV110E, SCV110F, SCV110FBC, SCV110FBH, SCV110FBK, SCV110FC, SCV110FD, SCV110FF, SCV110FH, SCV110FK, SCV110G, SCV110H, SCV110HE, SCV110HF, SCV110HH, SCV110HK, SCV110J, SCV110L, SCV125E, SCV125G, SCV125H, SCV125K, SCV125SJ, SCV125SK"
18812-KVT-900,"SEAL, SUB AIR CLEANER",11,"SCV100G8, SCV110GA, SCV110GC, SCV110GD, SCV110GF, SCV110GFD, SCV110GFF, SCV110GFH, SCV110GFK, SCV110GH, SCV110GK"
18910-MKS-E20,"CABLE COMP. A, EX. VALVE",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
18920-MKS-E20,"CABLE COMP. B, EX. VALVE",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
18950-MKS-E20,"STAY B, COVER",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
19010-K0A-DB1,RADIATOR COMP.,2,"CBF300NAN, CBF300NAR"
19010-K0A-E11,RADIATOR COMP.,1,CBF300NAK
19010-KPP-T01,RADIATOR COMP.,2,"CBR150RC, CBR150RG"
19010-KYJ-921,RADIATOR COMP.,12,"CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ, CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
19010-MJE-T11,RADIATOR COMP.,2,"CBR650FAG, CBR650FAJ"
19010-MJP-A61,"RADIATOR COMP., R.",3,"CRF1000DH, CRF1000DJ, CRF1000DK"
19010-MKN-T11,RADIATOR COMP.(T.RAD),3,"CBR650RAL, CBR650RAM, CBR650RAN"
19010-MKN-T51,RADIATOR COMP.(T.RAD),2,"CB650RAM, CB650RAN"
19010-MKP-T81,RADIATOR COMP.,1,CB500XAM
19010-MKS-A01,"RADIATOR COMP., R.",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
19011-K0A-DB1,"NUT, CLIP, 6MM",2,"CBF300NAN, CBF300NAR"
19014-KEA-003,"NUT, SETTING(6MM)",31,"CB500XAM, CB650RAM, CB650RAN, CBR150RC, CBR150RG, CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ, CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ, CBR650FAG, CBR650FAJ, CBR650RAL, CBR650RAM, CBR650RAN, CRF1000DH, CRF1000DJ, CRF1000DK, CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
19015-K0A-DB1,SHROUD COMP.,2,"CBF300NAN, CBF300NAR"
19015-K0A-E11,SHROUD COMP.,1,CBF300NAK
19015-KPP-T01,SHROUD COMP.,2,"CBR150RC, CBR150RG"
19015-KYJ-901,SHROUD COMP.,12,"CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ, CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
19015-MGZ-J01,SHROUD COMP.,1,CB500XAM
19015-MJE-D01,SHROUD COMP.,7,"CB650RAM, CB650RAN, CBR650FAG, CBR650FAJ, CBR650RAL, CBR650RAM, CBR650RAN"
19015-MJP-G51,"SHROUD COMP., R. FAN",3,"CRF1000DH, CRF1000DJ, CRF1000DK"
19015-MKS-E01,"SHROUD COMP., R. FAN",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
19016-K0A-DB1,"SCREW, PAN, 4X8.5",2,"CBF300NAN, CBF300NAR"
19016-KEA-003,"SCREW, PAN, 4X8.5",23,"CB500XAM, CBF300NAK, CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ, CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ, CRF1000DH, CRF1000DJ, CRF1000DK, CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
19020-K0A-DB1,"FAN COMP., COOLING",2,"CBF300NAN, CBF300NAR"
19020-KPP-T01,"FAN COMP., COOLING",2,"CBR150RC, CBR150RG"
19020-KVZ-631,"FAN COMP., COOLING",13,"CBF300NAK, CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ, CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
19020-MFG-D01,"FAN COMP., COOLING",7,"CB650RAM, CB650RAN, CBR650FAG, CBR650FAJ, CBR650RAL, CBR650RAM, CBR650RAN"
19020-MGS-D31,"FAN COMP., COOLING(T.RAD)",10,"CB500XAM, CRF1000DH, CRF1000DJ, CRF1000DK, CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
19020-MJP-G51,"RADIATOR COMP., L.",3,"CRF1000DH, CRF1000DJ, CRF1000DK"
19020-MKS-E01,"RADIATOR COMP., L.",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
19025-MJP-G51,"SHROUD COMP., L. FAN",3,"CRF1000DH, CRF1000DJ, CRF1000DK"
19025-MKS-E01,"SHROUD COMP., L. FAN",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
19030-K0A-DB0,"MOTOR COMP., FAN",1,CBF300NAN
19030-K0A-DB1,"MOTOR COMP., FAN",1,CBF300NAR
19030-K0A-E11,"MOTOR COMP., FAN",1,CBF300NAK
19030-KPP-T01,"MOTOR COMP., FAN",2,"CBR150RC, CBR150RG"
19030-MJE-D01,"MOTOR ASSY., FAN",2,"CBR650FAG, CBR650FAJ"
19030-MKN-D51,"MOTOR ASSY., FAN",5,"CB650RAM, CB650RAN, CBR650RAL, CBR650RAM, CBR650RAN"
19031-MKS-E00,"GRILL, R. RADIATOR",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
19032-MKS-E00,"GRILL, L. RADIATOR",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
19035-K0A-DB1,"NECK, FILLER",2,"CBF300NAN, CBF300NAR"
19035-K94-T01,"NECK, FILLER",1,CBF300NAK
19035-MJP-G50,"SHROUD, R. RADIATOR",1,CRF1000DH
19035-MKK-D20,"SHROUD, R. RADIATOR",2,"CRF1000DJ, CRF1000DK"
19035-MKS-E20,"SHROUD, R. RADIATOR",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
19036-MJP-G50,"SHROUD, L. RADIATOR",3,"CRF1000DH, CRF1000DJ, CRF1000DK"
19036-MKS-E20,"SHROUD, L. RADIATOR",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
19037-GEE-710,"CAP COMP., RADIATOR",9,"CRF1000DH, CRF1000DJ, CRF1000DK, CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
19037-K0A-DB1,"CAP COMP., FILLER",2,"CBF300NAN, CBF300NAR"
